Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",2556832,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
2,1-800-273-8255,Logic,1300411,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
3,"Bank Account","21 Savage",1251468,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
4,"Bodak Yellow","Cardi B",1249023,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
5,"XO TOUR Llif3","Lil Uzi Vert",977085,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
6,"Young Dumb & Broke",Khalid,919304,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
7,Unforgettable,"French Montana",878704,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
8,"Sorry Not Sorry","Demi Lovato",831657,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
9,"Look What You Made Me Do","Taylor Swift",817776,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
10,HUMBLE.,"Kendrick Lamar",814592,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
11,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",813554,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
12,Silence,Marshmello,801395,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
13,"Too Good At Goodbyes - Edit","Sam Smith",791168,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
14,"Jocelyn Flores",XXXTENTACION,787191,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
15,Congratulations,"Post Malone",751399,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
16,"Mi Gente","J Balvin",749924,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
17,"Rake It Up","Yo Gotti",714653,https://open.spotify.com/track/6c7D34787LOtPm8tzhsLgH
18,Havana,"Camila Cabello",706488,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
19,"I Get The Bag (feat. Migos)","Gucci Mane",696185,https://open.spotify.com/track/1HTtUBEY3tuw2btgwwI2Ja
20,"What Lovers Do (feat. SZA)","Maroon 5",662427,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
21,"Glorious (feat. Skylar Grey)",Macklemore,642355,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
22,"Butterfly Effect","Travis Scott",639763,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
23,goosebumps,"Travis Scott",608231,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
24,"Feel It Still","Portugal. The Man",593366,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
25,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",591013,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
26,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,586584,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
27,"New Rules","Dua Lipa",581298,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
28,Location,Khalid,580220,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
29,"Dusk Till Dawn - Radio Edit",ZAYN,577974,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
30,"Strip That Down","Liam Payne",560303,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
31,"...Ready For It?","Taylor Swift",549844,https://open.spotify.com/track/19WjVVgXjdKXfLXoaDPwTM
32,"Despacito - Remix","Luis Fonsi",547153,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
33,"The Race",Tay-K,544840,https://open.spotify.com/track/5RCfvwDewu6p2x1mEI6smX
34,Feels,"Calvin Harris",534556,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
35,"Wild Thoughts","DJ Khaled",532814,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
36,"Love Galore",SZA,527662,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
37,"Friends (with BloodPop®)","Justin Bieber",527388,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
38,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",522082,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH
39,"Slippery (feat. Gucci Mane)",Migos,512880,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
40,Thunder,"Imagine Dragons",512474,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
