Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",2380662,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"I Fall Apart","Post Malone",1206242,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
3,"Gucci Gang","Lil Pump",1059796,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
4,"Bank Account","21 Savage",1059697,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
5,1-800-273-8255,Logic,1056007,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
6,Havana,"Camila Cabello",921241,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
7,"Bodak Yellow","Cardi B",879863,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
8,"Young Dumb & Broke",Khalid,851428,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
9,"XO TOUR Llif3","Lil Uzi Vert",815883,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
10,Gorgeous,"Taylor Swift",792935,https://open.spotify.com/track/0CLnkxpa3M4eA3HeGaERat
11,"I Get The Bag (feat. Migos)","Gucci Mane",791915,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
12,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",764429,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
13,"Too Good At Goodbyes - Edit","Sam Smith",748507,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
14,Congratulations,"Post Malone",744928,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
15,"Plain Jane","A$AP Ferg",730604,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
16,"Sorry Not Sorry","Demi Lovato",724783,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
17,"What Lovers Do (feat. SZA)","Maroon 5",710120,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
18,"Let You Down",NF,695035,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
19,Silence,Marshmello,694651,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
20,Perfect,"Ed Sheeran",676381,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
21,"Feel It Still","Portugal. The Man",669913,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
22,HUMBLE.,"Kendrick Lamar",667995,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
23,Unforgettable,"French Montana",647706,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
24,"Jocelyn Flores",XXXTENTACION,636673,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
25,"Butterfly Effect","Travis Scott",625576,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
26,"Bad At Love",Halsey,616446,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
27,"New Rules","Dua Lipa",614409,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
28,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",596973,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
29,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",594123,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
30,"Go Flex","Post Malone",591515,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
31,"No Limit",G-Eazy,558974,https://open.spotify.com/track/2Xqd0wUttjueBfdcltADOv
32,goosebumps,"Travis Scott",557720,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
33,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",553827,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
34,"Patek Water",Future,547419,https://open.spotify.com/track/7r6LNJT2LqpLpEyZQJPygt
35,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",540481,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
36,Location,Khalid,539932,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
37,"Dusk Till Dawn - Radio Edit",ZAYN,527515,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
38,Thunder,"Imagine Dragons",510391,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
39,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,509467,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
40,"Look What You Made Me Do","Taylor Swift",497674,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
41,"Slippery (feat. Gucci Mane)",Migos,483552,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
42,"Candy Paint","Post Malone",480738,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
43,"Rake It Up","Yo Gotti",480671,https://open.spotify.com/track/6c7D34787LOtPm8tzhsLgH
44,"Glorious (feat. Skylar Grey)",Macklemore,471914,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
45,"Feed Me Dope",Future,470038,https://open.spotify.com/track/3lyeSiAIdLoZUHhV8psOTI
46,Transportin',"Kodak Black",463264,https://open.spotify.com/track/1WIZiOuNO3woKfdlSK2gNn
47,"Slow Hands","Niall Horan",460417,https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J
48,"Sauce It Up","Lil Uzi Vert",457681,https://open.spotify.com/track/1uL78kFWxhz3umTMWJu8n5
49,"The Race",Tay-K,444224,https://open.spotify.com/track/5RCfvwDewu6p2x1mEI6smX
50,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,437776,https://open.spotify.com/track/69Naniu2KjKjaQOBUagE8U
51,Believer,"Imagine Dragons",403104,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
52,"Mi Gente","J Balvin",401985,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
53,"How Long","Charlie Puth",400355,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
54,"LOVE. FEAT. ZACARI.","Kendrick Lamar",397332,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
55,"Love Galore",SZA,394625,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
56,"What Ifs","Kane Brown",386569,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W
57,Magnolia,"Playboi Carti",373417,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
58,"Too Much To Ask","Niall Horan",372272,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK
59,DNA.,"Kendrick Lamar",372043,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
60,"Relationship (feat. Future)","Young Thug",368351,https://open.spotify.com/track/25oOaleife6E2MIKmFkPvg
61,"Good Old Days (feat. Kesha)",Macklemore,367744,https://open.spotify.com/track/2Za1AlJNvksouPPWbXpR2X
62,"White Iverson","Post Malone",355624,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
63,"Mi Gente (feat. Beyoncé)","J Balvin",353422,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
64,Attention,"Charlie Puth",352906,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
65,"It's A Vibe","2 Chainz",349001,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6
66,"Body Like A Back Road","Sam Hunt",346916,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
67,Redbone,"Childish Gambino",345240,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
68,"Kids in Love",Kygo,344459,https://open.spotify.com/track/2UxfcZJCphbEkfbZ6nLiDx
69,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",338445,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
70,"Shape of You","Ed Sheeran",329761,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
71,"Despacito - Remix","Luis Fonsi",329754,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
72,"Mask Off",Future,325636,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
73,"Friends (with BloodPop®)","Justin Bieber",324958,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
74,"Strip That Down","Liam Payne",323481,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
75,"Wild Thoughts","DJ Khaled",321195,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
76,"Curve (feat. The Weeknd)","Gucci Mane",319584,https://open.spotify.com/track/2yuyaYAELoMG4ApV5wJsWR
77,"Everybody Dies In Their Nightmares",XXXTENTACION,318690,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
78,"What About Us",P!nk,317698,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
79,"Bedroom Floor","Liam Payne",316279,https://open.spotify.com/track/1pZdegOXTZ2ftINo3oUuRZ
80,Stargazing,Kygo,310618,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
81,wokeuplikethis*,"Playboi Carti",309728,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt
82,"I'm the One","DJ Khaled",300106,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
83,"do re mi (feat. Gucci Mane)",Blackbear,299488,https://open.spotify.com/track/53mrVsi49rLHIaKBiSvElG
84,"A Different Way (with Lauv)","DJ Snake",295754,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
85,Praying,Kesha,294055,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA
86,"Say You Won't Let Go","James Arthur",293984,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
87,"Feels Great (feat. Fetty Wap & CVBZ)","Cheat Codes",293550,https://open.spotify.com/track/5uu28fUesZMl89lf9CLrgN
88,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",290125,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
89,"Perplexing Pegasus","Rae Sremmurd",289501,https://open.spotify.com/track/2nYwV62UABTH0NanrwVIdQ
90,Pray,"Sam Smith",287363,https://open.spotify.com/track/0D8ZpOXVjapLXrjz5VfZSD
91,"...Ready For It?","Taylor Swift",287149,https://open.spotify.com/track/19WjVVgXjdKXfLXoaDPwTM
92,"I Like Me Better",Lauv,285576,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
93,"Tunnel Vision","Kodak Black",285179,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
94,"Losin Control",Russ,284112,https://open.spotify.com/track/4cxMGhkinTocPSVVKWIw0d
95,Questions,"Chris Brown",282770,https://open.spotify.com/track/5XQMr19TL7Mfksq9zihbOu
96,"iSpy (feat. Lil Yachty)",KYLE,277927,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
97,"No Cap",Future,274669,https://open.spotify.com/track/06Gyf2pFDVmN5K8XAawG96
98,"Sky Walker",Miguel,267403,https://open.spotify.com/track/1DRW9bQzt2SE8f7H4KJZyL
99,"That's What I Like","Bruno Mars",266692,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
100,Unforgettable,"Thomas Rhett",263832,https://open.spotify.com/track/30MM5jWpUmOxtTNd9Ey5LZ
101,"There's Nothing Holdin' Me Back","Shawn Mendes",263747,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
102,New,Daya,262773,https://open.spotify.com/track/4tERsdVCLtLtrGdFBf9DGC
103,"Bounce Back","Big Sean",260925,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
104,T-Shirt,Migos,259986,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
105,"4 da Gang",Future,256499,https://open.spotify.com/track/3IJ6BBFLD2I2CH3hHFQj3O
106,"Rubbin Off The Paint","YBN Nahmir",256220,https://open.spotify.com/track/0taOCiup4HNG9LmbduVlJj
107,"The Weekend",SZA,255736,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57
108,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,255030,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
109,"Lonely Together (feat. Rita Ora)",Avicii,254627,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
110,Passionfruit,Drake,254479,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
111,"Undefeated (feat. 21 Savage)","A Boogie Wit da Hoodie",252663,https://open.spotify.com/track/2vaMWMPMgsWX4fwJiKmdWm
112,"beibs in the trap","Travis Scott",252503,https://open.spotify.com/track/0ESJlaM8CE1jRWaNtwSNj8
113,Boss,"Lil Pump",252203,https://open.spotify.com/track/1rsAFUCa6BVMgRQ3FCQQsi
114,"Look At Me!",XXXTENTACION,250544,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
115,"Pills & Automobiles","Chris Brown",248030,https://open.spotify.com/track/4YkwUfWSIxdKNLDXw0caFO
116,Betrayed,"Lil Xan",244029,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
117,Crew,GoldLink,241848,https://open.spotify.com/track/15EPc80XuFrb2LmOzGjuRg
118,"No Option","Post Malone",240206,https://open.spotify.com/track/6M0IsaUX4GNyto4niSegfI
119,Feels,"Calvin Harris",238974,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
120,"do re mi",Blackbear,237633,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY
121,"Small Town Boy","Dustin Lynch",236452,https://open.spotify.com/track/2YMhrXQYKkm4kXLcXKKd5z
122,Portland,Drake,234444,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
123,PRBLMS,6LACK,233178,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO
124,"Say A'","A Boogie Wit da Hoodie",231951,https://open.spotify.com/track/3AMnOVxEHUgVrythGgqPhI
125,Swang,"Rae Sremmurd",231647,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
126,"When It Rains It Pours","Luke Combs",229771,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
127,"Now Or Never",Halsey,229147,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8
128,Starboy,"The Weeknd",227417,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
129,"First Day Out","Tee Grizzley",226885,https://open.spotify.com/track/3muBQDekYAg7jm6hDu6R0Z
130,"4 AM","2 Chainz",225602,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb
131,"Ex Calling",6LACK,225333,https://open.spotify.com/track/2RwmsAOxtiRezQPmvyejb8
132,"No Role Modelz","J. Cole",225175,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
133,Again,"Noah Cyrus",224674,https://open.spotify.com/track/2S2od3hT7ceytw7d1pTRuE
134,"What They Want",Russ,223991,https://open.spotify.com/track/3pndPhlQWjuSoXhcIIdBjv
135,"This Town","Niall Horan",223697,https://open.spotify.com/track/3UwT4FadEGWyMdaSwYcUBY
136,"Something Just Like This","The Chainsmokers",223338,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
137,"X (feat. Future)","21 Savage",223133,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
138,"Love Scars","Trippie Redd",222836,https://open.spotify.com/track/0AICBlLzFCTpUqmAbtzB2z
139,"Reggaetón Lento (Remix)",CNCO,222814,https://open.spotify.com/track/3zoYkqS4y2BsGVShPL2nTE
140,"Money Longer","Lil Uzi Vert",219600,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
141,Myself,NAV,218076,https://open.spotify.com/track/05nbZ1xxVNwUTcGwLbp7CN
142,"Craving You","Thomas Rhett",217348,https://open.spotify.com/track/2d48mamATjby7wgPjdrSOQ
143,Issues,"Julia Michaels",215729,https://open.spotify.com/track/6D0b04NJIKfEMg040WioJQ
144,"Heartache On The Dance Floor","Jon Pardi",215380,https://open.spotify.com/track/0w3Q14i073jLoew1hgJkwD
145,Closer,"The Chainsmokers",215213,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
146,"All da Smoke",Future,213332,https://open.spotify.com/track/1wWRtPIKD7ZNvtsrzLyTev
147,Caroline,Aminé,213243,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx
148,"Stay (with Alessia Cara)",Zedd,212712,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
149,"Fake Love",Drake,212646,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
150,"Easy Love",Lauv,210796,https://open.spotify.com/track/2ZE3DJuizYTad2S4CvRRhK
151,8TEEN,Khalid,210566,https://open.spotify.com/track/5bgwqaRSS3M8WHWruHgSL5
